"proteins","Melanoma","Melanoma_DB","Melanoma_DB.1","Melanoma_DB.2","Melanoma_t","Melanoma_t.1","Melanoma_t.2","Melanoma_t.3","Melanoma_t.4","Melanoma_t.5","Melanoma_t.6","Melanoma_t.7","Melanoma_t.8","Melanoma_t.9","Melanoma.1","Melanoma.10","Melanoma.11","Melanoma.12","Melanoma.13","Melanoma.14","Melanoma.15","Melanoma.16","Melanoma.17","Melanoma.18","Melanoma.19","Melanoma.2","Melanoma.20","Melanoma.21","Melanoma.22","Melanoma.23","Melanoma.24","Melanoma.25","Melanoma.26","Melanoma.27","Melanoma.28","Melanoma.29","Melanoma.3","Melanoma.30","Melanoma.31","Melanoma.32","Melanoma.33","Melanoma.34","Melanoma.35","Melanoma.36","Melanoma.37","Melanoma.38","Melanoma.39","Melanoma.4","Melanoma.40","Melanoma.41","Melanoma.42","Melanoma.5","Melanoma.6","Melanoma.7","Melanoma.8","Melanoma.9"
"D6RIA3",-2.370395138,1.770217689,1.901980941,1.817555758,0.505464032,-0.52205636,0.903408579,-0.603585075,-4.864440103,0.854993666,-2.536559089,-3.909240594,2.290734914,-2.57804266,-0.594747887,-2.390070469,-2.492087227,-4.634752674,-2.524085181,-3.881075314,-2.597624869,0.06951091,-0.06995113,-5.040734684,1.518979557,-2.581128543,-0.495987967,-2.203268617,-0.20680639,-2.416796976,-0.569540887,-0.370486048,2.318250163,1.577198317,0.34215533,1.838557455,-2.343364589,-1.785826878,-2.541171606,-2.527609626,-2.333980964,-3.72920439,1.558495835,1.62865787,-0.510726589,-4.957613142,-4.461425572,1.564385874,-0.308415039,2.227473084,-2.38180011,1.933915012,-2.378656396,1.560423884,-2.382414376,1.555602496
"E9PAV3",0.441059653,-0.254912435,-0.135612854,-0.133510867,-0.876719227,0.216438887,-0.037642483,0.439292166,0.73475858,-0.157313099,0.690074503,-0.002729877,-0.404430124,0.409425493,-1.981270287,-0.181001239,-1.193086227,0.008249678,-0.800876253,0.627066428,0.152810146,0.335861681,-0.240835847,-0.521007893,0.145024792,0.579382936,-1.612953906,-0.570875758,0.134672069,0.885131172,0.189574663,-1.061897067,-1.349895651,-1.543584533,0.939041732,0.166134044,0.31124923,0.673445888,-0.326950844,-1.47984917,-0.144341549,0.636060348,-1.643466804,-1.613597694,0.099838164,-0.751448974,-0.628487775,-1.512891262,0.448080716,-0.929421108,0.312296843,-0.543332089,-0.581610594,-1.641538755,0.139814312,-1.444701915
"E9PRG8",0.763587453,0.6989382,1.151642085,0.358765917,0.49488785,0.547378508,0.480239305,0.59618427,0.540198472,0.469279571,0.466865554,0.410394625,0.478673503,0.544403406,0.747728349,0.620568564,0.789155736,0.756683752,0.162533282,0.444903036,0.73895056,0.477456833,0.430188599,0.441479933,0.364012648,0.752363016,0.740451496,0.42800654,0.738560113,0.518775374,0.631462974,0.492389143,0.773823189,0.777890585,0.420404444,0.465742776,0.741719412,0.303509731,0.478176654,0.674829928,0.469287671,0.546361507,0.759188103,0.499305492,0.396527096,0.458972647,0.468648532,0.765078143,0.631255748,0.773780149,0.628838924,0.788305587,0.676522786,0.761116152,0.74783149,0.756294765
"O00154",0.23275568,0.917944783,0.472722392,0.780084466,0.296156499,0.346913824,-0.019454036,0.793583047,0.345561418,0.302604072,0.108275777,0.240064906,0.504468109,0.136632473,0.211373644,0.206297678,0.245809444,0.302601971,0.146740521,0.270038379,0.242431444,0.911887763,0.297836266,0.449655753,0.296439813,0.29532608,0.601006519,0.253141883,0.421354098,0.179571171,0.945337223,0.158555686,0.564686278,0.642082177,0.154341618,0.228926584,0.349245151,0.230438873,0.241360461,0.210287044,0.478938578,0.207157304,0.631171344,0.165472035,0.354777716,0.341195451,0.319607592,0.724853001,0.263654877,0.681160608,0.57754781,0.743287902,0.235995743,0.608828016,0.165375263,0.499547825
"O00159",-0.365371705,-0.166104853,-0.2605103,-0.037911271,1.056975744,0.661609819,-0.747333283,0.263091894,-0.442840845,0.975493698,0.227306879,0.679023294,1.065823998,0.992136972,-0.148519534,-0.65060628,-0.107212669,-0.687831714,-0.166168178,0.616351186,-0.399693545,0.19963415,0.164899578,-0.573539815,-0.308514059,-0.738466542,-0.495813391,0.133627761,-0.505662912,-0.103729512,0.0559592,-0.083205412,-0.042530282,0.035606342,0.378309671,0.020228484,0.182081364,0.095627998,0.032662362,-0.437229039,0.138798467,-0.216668419,-0.250571134,0.149294293,0.500726454,-1.027988804,-0.70817112,-0.678350181,-0.036418195,-0.145870727,0.281796177,0.216444902,-0.497877995,0.749854759,-0.267382139,-0.126469024
"O00170",-0.10769052,-0.197185586,-0.140910209,-0.124284236,-0.18082757,-0.100940855,0.426677136,-0.577170197,0.106403572,-0.030112657,-0.128556842,-0.203369257,0.069870483,0.290220632,-0.373496244,-0.127365852,-0.135928253,-0.094663253,-0.116348507,-0.097663109,-0.098145598,-0.189635355,-0.120051122,-0.046297941,-0.128301643,-0.081649272,-0.231220648,-0.073736461,-0.076284955,-0.154092359,-0.185391331,-0.064152269,0.003498884,-0.14694545,-0.185609977,-0.09795176,-0.207188142,-0.137262615,-0.085517883,-0.121110134,-0.197804517,-0.07007332,-0.165647932,0.149701869,-0.132624759,-0.083593498,-0.073917613,-0.082895326,-0.104046611,-0.037328194,-0.119095493,-0.004883557,-0.115951779,-0.086857316,-0.119709759,-0.091678704
"O00182",0.131802235,0.096499593,0.306800425,0.202031245,0.114004508,0.097662025,-0.277241438,0.085094746,0.090481989,0.108098203,0.330277141,0.091462821,-0.27880724,0.101084511,0.2642289,0.112126903,0.25258819,0.449242184,0.109654321,0.154555305,0.22963586,0.12748698,-0.251673816,0.240381958,0.199752236,0.234928628,0.223017108,0.101944211,0.212652437,0.191277938,0.203944813,0.146464741,-0.250524679,0.192340085,0.117255417,-0.33878302,0.325869283,0.114955799,0.317111271,0.251047224,0.153299252,0.146967963,0.137217463,-0.437126426,0.19542912,0.244187961,0.469608769,0.143107502,0.212531288,0.179713089,0.336332352,-0.368481374,0.4201567,0.164140767,0.430935758,0.24780006
"O00231",0.122894448,0.025438096,0.246419121,0.104327375,-0.01086783,-0.031865603,-0.122153593,-0.232961788,-0.909620541,0.236407394,-0.043796316,0.411559582,0.091767965,-0.246295947,0.1106957,0.033568232,-0.155558466,0.258076862,0.156523759,-0.143048815,0.071592232,-0.072426952,-0.213402984,-0.332827242,0.106075252,0.135007501,0.14268176,0.139562599,0.045661885,0.138383489,0.019489642,-0.191592466,0.186960167,0.164294011,-0.086365844,-0.039224603,-0.104218852,-0.182648321,0.075527286,0.060735109,-0.265520002,0.104078742,0.033505831,-0.210619803,0.036650719,0.133063276,0.499702142,0.151481569,0.112610162,0.041585158,0.173380355,0.190535851,0.287691228,0.147519578,0.172766089,0.142698191
"O00232",0.322607074,0.310355209,0.296930242,0.229736648,-0.335155713,0.337352825,0.508976754,0.229950997,0.241772032,0.320257572,0.684448732,-0.020285782,0.10827645,-0.37807292,0.108155146,0.302931742,-0.386709491,0.265534008,0.243848754,0.211190808,0.210708319,0.12700697,-0.027893847,0.330285216,0.231895618,0.227204646,0.29965351,0.089007752,0.065514686,0.276205235,0.378835051,0.124211894,0.104514487,0.175673853,0.119997826,0.045150468,0.109454183,-0.152654469,0.057584346,0.16375781,0.118837808,0.100222747,0.39857845,0.310844405,0.227572503,0.22526042,0.234936305,0.277301935,0.204807306,-0.082983004,0.311202101,0.157860655,0.314345815,0.2870831,0.310587835,0.268518557
"O00244",1.794736562,2.061245061,1.608455621,1.653301892,1.255151947,1.815206578,1.753193578,0.921694394,0.932803325,1.829350379,1.12464787,1.232610259,1.809005458,0.878032697,1.181166148,1.755355161,1.173034417,1.167145251,0.90641261,0.969884764,0.941586471,0.891925624,1.214021236,0.935089196,0.883638603,0.99540884,1.607699165,0.952988267,1.182680906,0.84983904,1.109325781,0.907406904,1.578696276,1.593309248,0.903192835,0.928772968,1.699602293,0.930285257,1.239304286,1.137512018,0.883756462,0.877425173,1.331785191,0.914323253,1.20367951,1.042496901,1.768234831,1.840647053,1.548211239,1.51751266,0.871463038,1.638457596,0.890815247,1.835184965,1.607632821,1.569158279
