"proteins","XwAP376.RI10.sc_ub","XwAP376.RI12.sc_ub","XwAP376.RI14.sc_ub","XwAP376.RI16.sc_ub","XwAP376.RI2.sc_ub","XwAP376.RI4.sc_ub","XwAP376.RI6.sc_ub","XwAP376.RI8.sc_ub","XwAP377.RI10.sc_ub","XwAP377.RI12.sc_ub","XwAP377.RI14.sc_ub","XwAP377.RI16.sc_ub","XwAP377.RI2.sc_ub","XwAP377.RI4.sc_ub","XwAP377.RI6.sc_ub","XwAP377.RI8.sc_ub","XwAP378.RI10.sc_ub","XwAP378.RI12.sc_ub","XwAP378.RI14.sc_ub","XwAP378.RI16.sc_ub","XwAP378.RI2.sc_ub","XwAP378.RI4.sc_ub","XwAP378.RI6.sc_ub","XwAP378.RI8.sc_ub","XwAP379.RI10.sc_ub","XwAP379.RI12.sc_ub","XwAP379.RI14.sc_ub","XwAP379.RI16.sc_ub","XwAP379.RI2.sc_ub","XwAP379.RI4.sc_ub","XwAP379.RI6.sc_ub","XwAP379.RI8.sc_ub","XwAP383.RI10.sc_ub","XwAP383.RI12.sc_ub","XwAP383.RI14.sc_ub","XwAP383.RI16.sc_ub","XwAP383.RI2.sc_ub","XwAP383.RI4.sc_ub","XwAP383.RI6.sc_ub","XwAP383.RI8.sc_ub","XwAP384.RI10.sc_ub","XwAP384.RI12.sc_ub","XwAP384.RI14.sc_ub","XwAP384.RI16.sc_ub","XwAP384.RI2.sc_ub","XwAP384.RI4.sc_ub","XwAP384.RI6.sc_ub","XwAP384.RI8.sc_ub","XwAP385.RI10.sc_ub","XwAP385.RI12.sc_ub","XwAP385.RI14.sc_ub","XwAP385.RI16.sc_ub","XwAP385.RI2.sc_ub","XwAP385.RI4.sc_ub","XwAP385.RI6.sc_ub","XwAP385.RI8.sc_ub","XwAP386.RI10.sc_ub","XwAP386.RI12.sc_ub","XwAP386.RI14.sc_ub","XwAP386.RI16.sc_ub","XwAP386.RI2.sc_ub","XwAP386.RI4.sc_ub","XwAP386.RI6.sc_ub","XwAP386.RI8.sc_ub"
"E9PAV3",-0.479461894,-0.027797874,0.08279644,0.007828866,-0.696613149,-0.070120375,-0.047461578,-0.207537239,-0.451561548,-0.500513131,-0.469581598,-0.483095469,-0.910294432,-0.571592066,-0.521941618,-0.589929253,-0.078376955,-0.0494757,0.058160475,-0.062292282,-0.27215112,-0.198628807,-0.145913648,-0.002775963,-0.522940536,-0.504288957,-0.16085107,-0.689234314,-0.766156425,-0.925576907,-0.72822331,-0.698036447,-0.768990508,-0.651230098,-0.510820828,-0.570197602,-0.848494511,-0.721939286,-0.659251289,-0.472790492,-0.371070555,-0.311728757,-0.605873007,-0.456156229,-0.594489701,-0.59129262,-0.282499996,-0.559444662,-0.210608414,-0.545479791,-0.225549784,-0.374976123,-0.552368482,-0.431249989,-0.657696152,-0.449953069,-0.353356987,-0.557457091,-0.600165539,-0.292319035,-0.370730322,-0.809797409,-0.66328163,-0.574057589
"O00154",0.671506699,0.801069355,0.525290453,0.731796167,0.480895284,0.785308231,0.731796167,0.762789851,0.306520127,0.347086858,0.164766227,0.744522536,0.463994478,0.731796167,0.731796167,0.306520127,0.514182568,0.609402968,0.660105386,1.279622528,0.306363006,-0.015659004,1.56936598,0.399344057,0.731049718,0.762789851,0.525290453,0.762789851,0.66177653,0.731049718,1.082777522,0.762789851,0.297951456,0.297951456,0.278505917,0.420259816,0.221384379,0.411752988,0.438434064,0.297951456,0.487702773,0.125494601,0.062441075,0.647582075,0.476217461,0.466899198,0.360700222,0.280656993,0.234933287,0.096496908,0.669779983,0.0849756,0.219392979,-0.852185559,1.19029801,0.229814314,0.183241067,0.137095608,0.328556623,0.137095608,0.328556623,0.457256839,0.501695975,0.137095608
"O00264",-0.316515965,-0.278575564,-0.260600112,-0.249988912,-0.787428405,-0.267970071,-0.479158851,-0.490563525,-0.040007429,-0.033293862,0.13906107,-0.08073167,-0.322899459,0.030764862,-0.027638968,-0.148011454,-0.12482768,-0.014341388,0.076788621,0.019287606,-0.223536192,0.022399743,-0.284968768,-0.070500549,0.186289572,0.226640319,0.351571331,0.190938629,-0.27886346,0.008931305,0.162758797,0.031566696,0.040366748,-0.001353662,-0.001353662,-0.001353662,-0.100641386,-0.010799483,-0.02207632,0.144072499,0.040366748,0.040366748,0.25483374,0.040366748,0.140620398,0.140620398,0.140620398,0.140620398,-0.072952606,0.029157083,0.149215853,0.142170084,-0.130169614,-0.013013614,-0.130169614,0.124328344,0.201289506,0.201289506,0.218333424,0.201289506,0.199166418,0.195714318,0.193445915,0.201289506
"O00299",0.511281456,0.484883417,0.380772956,0.677629138,0.24309802,0.45847959,0.618903669,0.454733412,0.397545454,0.42884997,0.198580724,0.504614744,0.187488169,0.46274524,0.558227744,0.326699086,0.263575756,0.221868703,0.121770649,0.332640959,-0.057905361,0.402143236,0.255031247,0.420333906,0.197713491,0.302532892,0.231630239,0.03082165,0.049429742,0.362699443,0.108102452,0.326449864,0.317042325,0.346351935,0.239536646,0.395521639,0.167421099,0.473996532,0.307940888,0.438617979,0.333173396,0.246076545,0.038963885,0.100677513,0.084602768,0.185983289,0.311675188,0.218601163,0.867364137,0.542978793,0.355092959,0.469902438,0.503635165,0.565908615,0.464190937,0.40491211,0.111921862,0.167286456,0.260608692,0.099442814,0.341008485,0.038706545,0.009843133,0.12610779
"O00410",0.318623184,0.628589191,0.097667458,0.143400661,-0.182485711,0.44462862,0.011951965,0.616508575,0.178460705,0.154735804,-0.176454006,0.122234397,-0.201791778,0.096516674,0.309536679,0.350136926,0.278006332,0.283018165,-0.053724542,0.029517161,0.094967252,0.095835975,0.1073672,0.051454004,0.371395576,0.107486073,0.025621269,-0.17337463,0.022750197,-0.449779956,0.12294838,0.092908007,-0.189402499,-0.098149623,-0.308596145,-0.274416401,-0.76090999,-0.128303844,-0.677734653,-0.165869243,-0.414931758,-0.127731721,-0.123103027,-0.433546506,-0.287543532,-0.219811673,-0.970517701,-0.11532449,-0.470504794,-0.838112845,-0.686973277,-0.309910808,-1.176298156,-0.087246807,-0.326141448,-0.59924508,-0.513126501,-1.026106591,-0.866435694,-0.448328812,-0.62815263,-0.688794769,-0.197972317,-0.634302296
"O00422",-0.033605702,0.173211623,0.21872398,-0.021867217,0.321441052,0.530276035,0.211641711,0.233450969,0.039246235,0.039246235,0.123356129,0.123356129,0.157595153,0.223293986,0.117082544,0.039246235,0.003000666,0.024039498,0.088809261,0.004426326,0.123356129,0.089065778,0.255866635,0.211966146,-0.057244135,-0.057244135,-0.032039809,-0.099718964,-0.080105792,-0.050701697,-0.057060734,0.091671194,0.673614194,0.856876547,0.52578845,0.687845071,0.671372991,0.649555071,0.691073676,0.493463743,0.047267957,0.046717754,0.06957102,-0.080706733,-0.202394678,-0.133466446,0.066345069,-0.084983713,-0.012741427,0.27754006,0.212593611,0.181165865,0.302218687,-0.163169827,-0.18229343,0.055437558,0.488607652,-0.089753907,0.468955853,-0.580098729,0.483569054,-0.088331743,-0.099609439,0.452449931
"O00567",0.157024159,0.06929511,0.078739306,0.078739306,0.255799663,0.136074023,0.07966397,0.160664397,0.127299617,0.127299617,0.184432492,0.212137169,0.236383066,0.146121817,0.059911829,0.127299617,0.186417078,0.147864897,0.30835043,0.232702449,0.279496943,0.166687098,0.147864897,0.196389479,0.171874499,0.171874499,0.30835043,0.266684452,0.242335078,0.256940291,0.21521168,0.201599041,0.124472518,0.162871017,0.152805107,-0.079458205,0.153568599,0.064411932,-0.10760805,0.183728942,0.224566858,0.094555315,0.305937055,0.378985174,0.461025283,0.180939119,0.349752692,0.240129061,0.00571806,0.288240614,-0.766165355,0.28833954,-0.127866189,-0.88879794,-0.180540173,0.22462236,0.17289332,0.267067505,-0.20193031,0.267067505,-0.20193031,0.132013327,0.110807243,0.267067505
"O00571",-0.312304703,-0.284574516,-0.343994854,-0.31518204,-0.16260602,-0.27777307,-0.298132574,-0.364755035,0.071122631,-0.006953572,-0.188750548,-0.06174664,-0.038149148,-0.070983304,-0.048884925,0.204353477,-0.012070121,0.211415265,-0.050484627,0.026142111,0.01914394,0.157496204,0.199698393,0.423226797,-0.139338572,-0.285660476,-0.067283134,-0.039131097,-0.168130805,0.101998638,-0.099456426,-0.157625937,-0.07215217,-0.095552296,-0.107180027,-0.116628591,-0.064711966,-0.062250894,-0.196895079,-0.026335187,0.00707265,-0.070156284,-0.020406522,-0.003897376,0.040463119,-0.093371448,0.100573093,0.056844535,0.048115331,-0.031378396,-0.007651105,0.032237335,0.197859347,0.124182367,0.016300529,0.021936728,-0.548413675,-0.423232576,-0.265975962,-0.141421404,-0.499817832,-0.131054835,-0.047619553,0.052660486
"O14579",-0.292748359,-0.292748359,-0.568041416,-0.470060351,-0.057948629,-0.14241718,-0.321384207,-0.292748359,-0.256862084,-0.044107643,-0.338050836,-1.109211328,0.213031385,-0.126281813,-0.342769628,-0.577275352,-0.080768347,-0.080768347,-0.149626622,-0.080768347,-0.064181717,-0.080768347,-0.080768347,-0.080768347,-0.479302934,0.153779271,-0.123356203,0.083218621,-0.22296822,-0.210839881,-0.337056372,0.089518063,-0.194128582,-0.049063485,-0.359596087,-0.080768347,-0.14861748,-0.061114141,-0.22276443,-0.080768347,-0.178787848,-0.178787848,-0.149626622,-0.080768347,-0.178787848,-0.178787848,-0.178787848,-0.178787848,-0.080768347,0.008719337,0.037880563,0.008719337,0.037880563,-0.131372327,-0.033352827,-0.154892544,-0.080768347,-0.080768347,-0.060138938,-0.080768347,-0.060138938,-0.060138938,-0.033352827,-0.080768347
"O14737",0.495766774,0.495766774,0.495766774,0.495766774,0.27607299,0.191766481,0.495766774,0.495766774,-0.017084116,0.191766481,-0.017084116,0.506884912,0.495766774,0.191766481,0.495766774,-0.017084116,-0.017084116,-0.017084116,-0.017084116,-0.017084116,0.40786289,0.191766481,-0.017084116,-0.017084116,0.191766481,0.191766481,0.191766481,0.191766481,-0.2367779,-0.452874309,-0.027927303,-0.027927303,-0.017084116,-0.017084116,-0.017084116,-0.017084116,-0.017084116,-0.017084116,-0.017084116,-0.017084116,-0.017084116,-0.2367779,-0.017084116,-0.017084116,-0.452874309,-0.017084116,-0.017084116,-0.017084116,-0.017084116,0.103973131,-0.104877466,-0.104877466,-0.012004812,-0.017084116,-0.012004812,-0.012004812,0.191766481,0.191766481,0.098893827,0.098893827,0.191766481,0.191766481,0.191766481,0.191766481
