Protein,i10,i105,i106,i107,i108,i109,i11,i110,i12,i122,i123,i124,i125,i126,i127,i13,i136,i137,i138,i139,i14,i140,i141,i15,i151,i152,i153,i154,i155,i156,i167,i168,i169,i170,i171,i172,i185,i186,i187,i188,i189,i190,i202,i203,i204,i205,i206,i207,i216,i217,i218,i219,i220,i221,i232,i233,i234,i235,i236,i237,i247,i248,i250,i251,i252,i26,i27,i28,i29,i30,i31,i41,i42,i43,i44,i45,i46,i57,i58,i59,i61,i62,i71,i72,i73,i74,i75,i76,i88,i89,i90,i91,i92,i93
A0A1B0GX78,0.195591399,0.15352134,0.244738451,-0.364624287,-0.07427733,0.251051657,0.049256987,0.046984316,0.207529134,0.198071267,0.097650558,-0.32436154,0.013966624,0.259606122,0.310415932,0.304811805,-0.116850305,-0.263702833,-0.407281581,-0.314532246,0.082840775,0.307589459,-0.214804873,0.424291019,0.177744608,0.083647592,-0.104760255,0.381466679,0.092697543,0.105616685,-0.138871319,0.01326772,0.023639407,-0.307783947,-0.451718581,0.21482305,-0.460515515,0.096563303,-0.246857487,-0.095089583,0.001132644,0.22831873,-0.176287742,-0.148391856,0.131303198,-0.100619688,-0.146012664,-0.217619458,0.164191874,0.185643904,-0.09098417,0.280665593,0.35107347,0.211549341,0.691058024,-0.037930426,0.184321552,0.202512629,0.034822955,0.094713133,0.307456671,-0.136545787,0.099847167,0.127763949,0.495347839,0.271866411,-0.160853555,0.169363909,0.089119472,-0.224296094,0.093209321,0.314356409,0.10837712,0.338010513,0.379128686,0.075093768,-0.438097431,-0.041697497,-0.301262068,0.218210139,-0.256923016,0.516998156,0.305766839,0.52171261,0.105440419,0.083670221,-0.032633375,-0.040613473,0.271146735,0.204955481,-0.346615999,-0.281757592,0.300636539,0.177503779
A6NFK2,0.684505815,-1.190058014,-1.1442758,-1.184918175,-1.153178845,-1.159611889,0.453239953,-1.171344956,-0.896417728,-1.101783034,-1.300364081,-1.093109419,-1.178174327,-1.259937684,-0.832734756,-1.123837383,-1.419282424,-1.409570498,-1.415445733,0.18314782,-0.877602475,-1.448595801,-1.426585398,-0.903830177,-1.152098243,-1.116576322,-1.152015953,-1.131381589,-1.141761337,-1.115046756,-1.140021502,-1.189584843,-1.144380605,-1.175116142,-1.181189511,-1.171784877,-1.031942601,-1.027411474,-1.073114729,-1.079656124,-1.042767695,-1.031647532,-1.175605265,-1.169698886,-1.1986812,-0.210059096,-1.190328278,-1.178603558,-1.046282501,-0.239449177,-2.149904242,-0.006177128,-1.034931494,-1.038491129,-0.40343587,-0.730600747,-0.398491523,-0.53329374,-1.723706081,-0.459503993,0.35084396,-0.148477345,-0.125669887,0.140254338,-0.020100823,-0.101946646,-1.360630552,0.089305049,-0.420654912,-2.365837952,-0.422018007,-0.729212481,-0.966542185,0.411244304,-0.740229235,-0.74936562,-0.962876151,0.06603945,0.146281278,0.632321627,-0.579759869,-0.199945786,-1.214905151,0.118953336,0.535701403,0.133631937,-1.350874578,0.131397963,-1.16892635,-1.176765647,-1.220976412,-1.204864164,-1.18473051,-1.179403792
A6NFN9,0.970011089,0.06056607,1.152419071,0.262183787,1.247863658,0.783267943,1.042563476,1.159163337,0.153470858,1.429725613,-0.343085961,0.988730024,1.499523652,0.073093815,0.05362887,0.584202196,0.951772565,0.620394272,1.006848178,1.006078487,-0.103642812,0.305842739,0.372284134,0.738181932,0.635032427,1.381679186,1.263655721,0.630909258,0.036981028,0.847058478,1.85868016,0.505386406,1.415088805,0.019993456,-0.849996228,-0.45726016,-0.085662121,1.288692043,-0.171636913,0.636130202,1.499140685,0.595580983,1.428356171,0.992958854,-0.249086768,1.127806961,0.70152491,0.201069823,0.369055438,0.590009827,1.615697133,0.676559845,0.046104087,0.595062692,0.260576748,0.653493734,0.815461811,-0.219418836,0.163502307,1.47040463,0.212072164,0.245964985,0.885827136,0.06082852,0.195693879,0.684383935,0.503011365,-0.163003476,1.19476805,0.576908187,1.306613591,1.265995727,-0.410153567,0.535473271,0.607072081,0.123933412,0.559182249,-0.018601639,0.938045734,0.083373044,0.673971434,0.333547946,0.603459506,0.313397101,1.039460461,0.444003498,-0.158242074,0.743315674,1.370691728,0.84372439,0.697015103,0.362693585,0.830720207,1.262447228
A6NHQ2,-0.053324929,-0.197302805,0.709476713,0.15568273,-0.202629557,0.439738431,0.591079646,0.033606526,-0.311489934,-0.089559335,0.213449876,0.505482729,0.083327419,0.255653267,0.614560552,0.202130375,0.193382813,0.502049042,0.639589272,-0.078955974,0.21958161,0.342607896,0.088142506,0.115904231,0.182718149,0.829778352,0.222492592,-0.136828136,0.44526454,-0.332722731,0.230560879,0.330630895,0.223160087,0.175748711,0.396338479,0.47080639,-0.231454684,-0.292036424,-0.245084635,0.172518296,-0.047573736,0.011826563,0.220538367,0.486291848,0.192299357,0.213602925,0.519831568,0.091141085,-0.062443785,0.087506228,0.542687965,-0.007960704,0.070483375,0.092559093,0.258613767,0.36953025,0.298422264,0.385435428,0.304603513,-0.136854824,-0.498395896,-0.296083177,-0.273275719,0.178724653,0.450341979,-0.157792796,-0.149733091,0.252365453,0.007159392,-0.204596668,-0.159304827,0.091420409,0.524192323,0.134923605,0.441660692,-0.331629496,-0.318957313,0.236098127,0.127132789,0.132219559,-0.396803131,0.015858738,0.014328828,0.083545282,0.536772476,0.098223884,-0.009741821,-0.116571796,0.550928516,0.03567379,0.474906384,0.491018632,-0.217480881,0.244742496
B4DXR9,-0.201778121,-0.251636609,-0.006750393,-0.013940272,-0.256963361,-0.263396405,0.028544912,-0.275129472,-0.198725912,-0.077308579,0.121651354,-0.321208791,-0.326352031,0.120919822,-0.313506972,-0.197361893,-0.459292871,-0.149504659,-0.155379894,-0.165732135,0.075777365,0.073143925,0.051648617,-0.206138361,-0.324548853,-0.067411624,-0.054985464,-0.336994696,-0.054506171,-0.065882058,-0.094814846,-0.243454595,-0.501300151,0.419130352,0.068217533,-0.104352548,-0.026197477,-0.02166635,-0.276007865,-0.028469314,-0.291102517,-0.279982353,-0.322760227,-0.038996014,-0.063269673,-0.051837835,-0.337483241,-0.057979871,-0.36417749,-0.098444429,0.106891495,-0.379824461,-0.089831929,-0.093391564,-0.126300124,-0.140994448,-0.121355778,-0.155800035,0.110432472,-0.418758976,0.22911868,-0.191357464,-0.168550006,-0.173816658,-0.175857159,0.049848816,-0.211952447,0.059761239,-0.220161089,-0.190908631,-0.209402879,0.055595139,-0.1921158,0.024405204,-0.21386776,-0.223004146,-0.210331963,0.024981363,0.024536152,0.029622922,-0.535649851,0.021222502,-0.194001336,0.045099316,0.049530723,-0.195186372,-0.218071985,-0.197420346,-0.238864777,-0.233620082,-0.248320607,0.166996051,-0.254668936,-0.249342218
C4AMC7,0.574548872,0.272765034,0.004522776,-0.514502131,0.10984494,-0.519050929,-0.405134508,0.46415631,-0.62839968,0.208186184,-0.262756474,0.215731429,0.636294038,-0.966125436,-0.021373084,-1.024254274,-0.274662501,0.42216948,-0.14259571,-0.224562453,-0.422182567,-0.203459596,-0.075254965,-0.425995375,0.110135561,0.38814792,0.080176652,0.350276466,-0.549656325,-0.206825655,0.102169808,0.339709792,-0.15571831,-0.606063082,0.004854804,-0.269360633,-0.267052959,0.711366669,-0.142483235,0.210126539,0.627561777,-0.728377497,0.235111594,-0.045578962,-0.06384058,-0.455531008,0.296745913,-0.220355947,-0.767087777,-0.675947293,-0.093795356,-0.921873061,-0.533118747,-0.536678383,-0.660498922,-0.744482291,-0.262642459,-0.933441371,-0.424071023,0.35798841,0.004147193,-0.619323018,-0.575594339,-0.664065739,-0.66610624,-0.026209611,-0.92224911,0.325290807,-1.178171443,0.349755006,-0.238076644,-0.300783775,-0.504816795,-0.605985473,-0.427781045,-0.454110236,-0.502791124,-0.801667381,0.530107855,-0.251411999,-0.629261132,-0.075175914,-0.450722077,-0.686490536,0.614008284,-0.547757052,-1.152830097,-0.468808736,-0.480535556,0.713666731,0.391812903,-0.336455879,-0.471804345,0.571780281
E9PAV3,0.353912448,-0.599379703,-0.200783705,-0.16104969,0.26014587,-0.396764004,-0.225810731,0.04281661,0.089016561,0.457194237,-0.673479351,-0.232544275,0.10076954,0.15970358,0.544042794,-0.264550786,-0.1793617,0.040331872,-0.597295487,0.179032702,-0.171746657,-0.120622574,-0.305453533,-0.237374971,0.367991646,-0.400297383,-0.023911926,-0.14147292,-0.764130215,0.476938017,-0.115997888,0.119418713,-0.277349726,0.062520593,-0.406800885,-0.276941239,-0.073193078,-0.045356019,-0.430796236,-0.11445321,0.092287493,0.068196057,-0.265100971,-0.133974612,0.253862718,-0.165527591,-0.046685977,-0.511024088,-0.328562931,-0.313540062,-0.200096562,-0.057665544,-0.212348742,-0.308487197,-0.017626108,0.016528692,-0.19334015,0.178879031,-0.281354685,-0.341215098,-0.641143456,-0.162609643,-0.133918039,-0.266904467,-0.117738513,-0.080790514,-0.623311306,-0.201401962,-0.22620531,0.078968926,-0.35436252,-0.157771074,-0.082580632,-0.334940189,-0.168787828,-0.269631342,-0.382260179,0.181599476,0.694559009,-0.501527773,0.160320721,0.352204677,-0.124505461,-0.513830819,0.191673488,0.16030831,-0.137182607,-0.141871514,0.085466519,0.314178772,-0.342422945,-0.0032661,0.377038812,0.271977932
O00154,0.261149215,0.26803409,0.271610382,0.273173928,0.262707338,0.256274294,0.235784225,0.244541227,0.264201424,0.301641938,0.316969995,0.310315553,0.305172314,0.316238463,0.318017372,0.265565444,0.326092356,0.335804281,0.329929047,0.330461957,0.283016678,0.340284689,0.318789382,0.256788976,0.268075475,0.255731604,0.268157764,0.255629632,0.27841238,0.25726117,0.309041918,0.30081423,0.304682815,0.315282931,0.309209562,0.318614196,0.271126566,0.275657693,0.275396124,0.268854729,0.260301472,0.271421636,-0.398714126,-0.392807747,0.555889764,-0.405649568,-0.413437139,0.561179566,0.352478493,0.355217,0.352248553,0.336831522,0.3638295,0.360269865,-0.160423416,0.288283578,0.307922248,0.273477991,0.314103497,0.461376098,0.377653864,-0.666468829,0.362163294,0.356896642,0.354856141,0.349452227,0.342716344,0.35936465,0.334507702,0.363760161,0.333144607,0.35493081,0.365666016,0.323740875,0.343914056,0.33477767,0.347449853,0.27570326,-0.676362866,0.280344819,0.272231601,0.271944399,0.35728265,0.341419012,0.345850418,0.356097613,0.333212,0.353863639,0.31559534,0.320840035,0.306139509,0.322251757,0.299791181,0.305117899
O00170,0.244806313,-0.258770453,-0.333299492,-0.433128211,-0.357600884,-0.113177504,-0.314172619,-0.664447775,-0.64125873,-0.29748806,-0.280648806,-0.402679338,-0.508221942,-0.143415721,-0.189768687,-0.018602112,0.109121906,0.118833832,0.30970526,1.166444176,-0.344511672,0.266958809,0.597344667,-0.558141835,-0.33807626,0.056911336,0.241791607,-0.352351066,-0.537518275,-0.754393068,0.686715551,-0.408220866,-0.367567802,0.336240366,0.330166996,-0.60309968,-0.517930573,-0.642160638,0.158130137,-0.305500412,0.02435786,0.584056305,0.133668066,0.109362043,-0.562871046,0.126732623,-0.031355943,-0.603718423,0.160415385,-0.347952576,-0.319072219,-0.261385994,-0.983636131,-0.547940924,0.279469855,-0.441189104,0.240009399,-0.381465123,0.688781676,-0.210170366,0.485944655,-0.034016682,0.087947966,-0.464113313,-0.894780827,0.05671134,-0.714645794,-0.527743452,0.493712434,0.240973877,-0.569980343,-0.16737207,-0.325801344,-0.052476429,-0.045490948,-0.651419409,-0.289863302,0.387283662,-0.098025843,0.392254663,-0.577489725,0.715207671,-0.414475606,-0.357369567,0.100608267,-0.184131049,-0.674992822,-0.72731086,-0.223103729,-0.876339101,-0.003401456,-0.216447312,-0.637877255,-0.23358117
O00192,-0.044031241,0.226662116,0.104156524,-0.029373594,-0.018713194,0.099114809,-0.538548599,0.105812504,0.218439187,0.237171625,0.131266816,-0.147892693,0.132876213,0.228352174,0.000610176,0.225168809,-0.201227036,0.073479156,-0.331506806,-0.67617461,0.213697088,0.145589401,-0.115628828,0.569562368,0.001773928,-0.169324604,0.219599763,0.033794262,0.186805873,0.281234693,-0.045463388,-0.200556747,-0.220185571,0.011486463,0.007120956,0.322184066,-0.194999428,0.214193072,-0.226084846,-0.017734778,0.221867025,0.409842899,0.100261032,-0.13470123,0.110209619,0.225811087,0.27077642,0.200598947,0.319267576,0.329584142,0.209220283,0.200332669,0.416270908,0.393315951,0.330427583,0.278404293,0.118240111,0.314182067,0.014427259,0.019132418,0.177932817,0.294381696,0.237849357,0.249323691,0.387791337,0.055518676,0.071060101,0.064043273,0.322368496,0.158083086,0.308567432,-0.376194989,0.144412423,-0.39904511,-0.184916229,0.362908774,0.33352078,0.281720016,-0.333541429,-0.330999574,0.465960015,-0.223387535,0.430340476,0.414476838,0.231755354,0.239233032,0.225777278,0.404538188,-0.019419212,-0.059428739,-0.0583056,-0.247778376,-0.026075435,0.341534142
