"proteins","U.937","U.937_DB","U.937_DB.1","U.937_DB.2","U.937_t","U.937_t.1","U.937_t.2","U.937_t.3","U.937_t.4","U.937_t.5","U.937_t.6","U.937_t.7","U.937_t.8","U.937_t.9","U.937.1","U.937.10","U.937.11","U.937.12","U.937.13","U.937.14","U.937.15","U.937.16","U.937.17","U.937.18","U.937.19","U.937.2","U.937.20","U.937.21","U.937.22","U.937.23","U.937.24","U.937.25","U.937.26","U.937.27","U.937.28","U.937.29","U.937.3","U.937.30","U.937.31","U.937.32","U.937.33","U.937.34","U.937.35","U.937.36","U.937.4","U.937.5","U.937.6","U.937.7","U.937.8","U.937.9"
"E9PAV3",-0.378420112,0.400109856,0.373979935,0.387570046,0.087497392,0.474678401,0.51327656,0.459890666,0.153091572,0.287603975,-0.279337877,0.294093118,-0.158210216,0.024011826,-0.451056931,-0.050825154,0.629381124,0.262602629,0.642839405,0.228793036,0.795938625,0.688227498,0.049541246,-0.276394374,-0.40635189,-0.099981018,0.346695743,1.325511097,0.961357682,-0.845885811,0.090017112,-0.451290488,0.506308339,0.436513561,-0.030253345,0.195565059,0.574959659,1.013087515,0.160719521,-0.248610117,-0.257314527,0.179802588,0.352514083,-0.021701734,0.727469315,0.215195905,-0.319359512,0.169783417,0.383110735,0.818470032
"O00154",0.15526446,0.351437034,0.753110838,0.554059049,-0.920059396,0.557690013,-0.466455889,0.039181533,-0.384661582,-0.946600982,-0.326609693,-0.397771576,-1.40000553,-0.368805253,-0.29781914,0.157888035,-1.047042734,-0.476985672,0.371028308,0.182736904,0.802534876,-1.372315381,-0.769259982,-0.313167374,-0.352842171,0.004032713,0.025356102,-0.438731721,0.325755327,-0.001435594,0.255864539,0.865590362,-0.424110245,-0.080353623,-0.349968602,-0.258737084,0.302524977,-0.238796761,0.273251926,-0.546711059,-0.289424154,-0.398875603,-0.323709299,-0.270714522,0.011071482,0.338768132,-0.371427052,0.010824204,0.204422502,-0.340677962
"O00264",-0.629884962,-0.601637448,-0.326482429,0.12521612,0.26801502,-0.145686818,0.693752764,-0.567002589,-0.283939194,0.307118147,-0.352379476,-0.552965296,0.328356981,-0.311905674,-0.949057918,-0.148434804,0.240647922,-0.189749113,0.072973314,-0.292277702,0.81029927,-0.638202704,-0.654890567,-2.037009759,0.356701729,-0.608157968,-0.449046066,-0.470740549,-0.465405308,0.185374813,-0.497864114,0.593737661,-0.784718506,-0.959255671,0.835292051,-0.125197018,-0.44933617,-0.254128832,-0.14877788,-0.655707378,-1.441658788,-1.375699394,-0.40437248,-1.183273052,-0.852331707,-1.234458896,-0.907312616,-0.044896954,-0.926248329,0.716065949
"O00264",0.02363088,0.30616435,0.366843828,0.131493338,1.53867066,0.951704094,1.666803803,-0.839463727,0.740932501,1.293961495,0.673882898,1.379734702,1.192325383,0.631687338,0.392106913,0.172898848,1.335488447,1.245772378,0.225933627,0.381134525,-0.824855394,0.197339087,1.274727209,0.385195952,0.398937898,0.440804793,0.443455104,0.490955057,0.402889708,-0.924243414,0.522075672,-0.428387788,0.53955402,1.33109609,-0.987822333,0.389980347,0.231173686,1.139135305,1.064036384,0.39290635,0.374280594,0.235285173,0.417032341,0.258198802,0.665578124,0.223261765,0.380353017,0.211519748,0.250919559,0.364923211
"O00299",0.204840365,0.729088261,0.881390268,0.759341217,1.217065541,0.820012724,1.193476707,1.039651097,0.963670656,1.198348326,0.613165523,1.054611,1.385599344,0.530396205,-0.102233957,0.814223883,0.442521866,-0.12747218,0.783070642,0.945173556,-0.190457544,1.121701501,0.905658531,0.545479152,0.033635578,1.351042242,0.805105766,0.122336159,0.515901189,0.92272091,0.82269513,0.427359641,0.713269272,0.936463938,0.64957559,0.219968703,0.315071358,1.153230463,-0.190763085,0.147550679,0.802211499,0.600707199,0.69793029,1.363478617,1.226126981,-0.376570539,0.377472508,0.915777754,0.424141158,0.452607925
"O00410",1.081550156,1.07730796,1.067445018,1.069166659,1.118334863,1.156560385,1.015752485,1.140214421,1.039354109,0.86488188,0.911813799,1.092436195,-0.066059463,1.150169576,1.14778003,1.216379275,0.636833857,0.625724434,1.168235377,1.135651114,0.057125883,1.139640837,0.697061009,1.14086907,1.130487271,1.151533794,1.058539609,1.201684057,1.252015864,-0.376986292,0.833717184,0.311463443,0.851195532,0.775345748,-1.274910338,1.239106503,1.173475435,0.818274408,0.674155344,1.148579467,1.129953711,1.060651249,1.157489529,1.083564879,0.837458283,1.165563515,1.136026134,1.153821498,1.076285635,1.055965876
"O00422",0.705839016,0.614988325,0.805422474,0.4420162,0.925938019,0.427788185,0.685216502,0.803856619,0.373447425,0.786865728,0.592756382,1.307056371,1.351725725,0.378142577,0.688334399,0.605943783,1.136098216,0.943425401,0.520870476,0.509419409,-0.53546081,0.381122962,1.107199044,0.681423439,0.634133361,0.890374018,0.606326179,0.940524282,0.808437756,-0.138668422,0.931881274,-0.095564884,0.949359621,1.153967052,-0.741923224,0.795528395,0.54724373,1.002380805,0.802011069,0.689133836,0.670508081,0.60843782,0.529056884,0.631351449,1.183134135,0.40704564,0.676580503,0.527589793,0.624072206,0.529091365
"O00567",0.190017483,-0.686689068,-0.2333216,-0.559075142,0.570180684,-0.515214541,0.303981911,-0.350321675,0.013243128,0.336860026,0.2256124,-0.379058424,0.257792447,-0.080124866,-0.013751287,-0.144365023,-0.324456865,0.218056313,-0.118252962,0.522898636,-0.133535456,0.343139289,0.144729563,0.091379031,0.39966724,0.042183218,-0.771256258,-1.168140119,-0.645998578,-0.013169117,-0.172189039,-0.049754412,-0.120091053,0.280251501,-0.084888235,-0.977581746,-0.381011801,0.13794136,0.317611949,-0.176158964,0.638181725,0.119941488,-0.380261388,0.265349056,-1.042049964,-0.065481365,0.489404385,-1.226552175,-0.091442969,0.370486004
"O00571",0.681167665,0.51664435,0.857524608,0.637196756,-0.287467337,0.300635779,0.176333546,0.694054297,0.06205266,0.30936205,0.392771829,0.355348848,-0.149786484,0.460859257,0.614081398,0.439699959,0.467592655,-0.116246694,0.155613128,0.588724154,0.718172798,0.202880713,-0.21038035,0.336050104,0.096312743,0.981224484,0.605841578,0.247981587,0.538965413,0.124923565,0.411891275,0.811221829,0.304980157,-0.103539601,0.028931894,0.608603784,0.416908153,0.036746689,-0.471338783,0.774322212,0.227532195,0.504039017,0.856733128,0.545261385,-0.207278603,0.268368083,0.080470984,0.293182722,0.803119628,-0.009580881
"O14579",-1.01133176,0.048254677,0.132100653,0.339519262,0.118781952,-0.05470231,0.111143539,-0.212871574,-0.335781061,-0.004295298,-0.157795162,-0.046458552,-0.009073105,-0.199990722,0.249780145,-0.766564377,0.14674348,-0.16096277,-0.075271101,-1.732586165,0.49893299,-0.79546757,-1.061649302,-0.683114885,-0.872289425,-0.729296703,-0.664702653,-0.355032954,-0.478158195,-0.170796982,-0.464161391,0.006830471,-0.72646307,-0.334682497,-0.120110439,-0.504794298,-0.837310325,-0.146068499,0.272623823,-0.43736792,-0.864161152,-0.400697408,-0.675200629,-0.282106429,0.40344659,-0.705830821,-0.890874306,-0.192800425,-0.371712449,-0.482724134
