"proteins","i102","i103","i104","i112","i118","i119","i120","i121","i132","i134","i135","i143","i144","i150","i158","i159","i160","i166","i174","i175","i176","i182","i183","i192","i199","i20","i200","i201","i213","i214","i215","i22","i223","i224","i229","i23","i230","i231","i239","i24","i240","i245","i25","i255","i256","i37","i38","i39","i4","i40","i48","i54","i55","i56","i6","i64","i69","i7","i70","i78","i79","i8","i80","i86","i87","i9","i95","i96"
"E9PAV3",0.463513152,0.316104143,-0.07328115,0.557485832,0.33035482,0.345608129,0.057948775,-0.245149626,0.389235676,0.285554202,0.14455988,0.190641687,0.133524098,-0.211772126,-0.177323228,0.40440281,0.001760871,0.193516386,0.255158318,-0.148754939,0.502740866,0.632849875,-0.072855398,-0.217439161,0.271653991,0.370653037,0.32102456,0.337350377,0.343598457,0.474486284,0.574319314,0.675660601,0.384438959,0.443240496,-0.191487537,0.150604738,0.860320297,0.249940753,0.048260184,0.026853292,-0.153088374,-0.48445899,-0.000550423,0.427996556,0.328131079,-0.302531386,0.317708106,0.39759323,0.094633224,0.103937134,0.682064433,0.200529421,0.006020558,-0.253411469,-0.202972069,0.048730129,-0.849995848,0.00216569,0.559274144,0.085652863,0.557369002,-0.344169002,0.173269506,-0.069513165,-0.159868016,0.689523533,-0.95318315,0.180267756
"O00154",0.18655775,-0.477311088,-0.491063393,-0.499014707,-0.418149737,-0.413241922,-0.419550993,-0.417323528,-0.376539098,-0.389267709,-0.387845897,-0.379734612,-0.394241002,-0.480723352,-0.495383595,-0.479710742,0.172841439,-0.607810108,-0.281776479,-0.293315012,-0.597985333,-0.732366398,-0.37410327,-0.365755355,-0.051604665,-0.555092899,-0.054382055,-0.046854126,-0.284648002,-0.643514191,-0.646658001,-0.229751523,-0.298059036,-0.294653233,-1.235183467,-0.56224095,-0.107141478,-0.325595034,-0.107489205,-0.56251721,-0.336872312,-0.289687781,-0.258482289,-0.280896745,-0.281567434,-0.619445092,-0.272646989,-0.632915907,-0.571328839,-0.296245419,-0.273682309,0.19447205,0.211483345,-0.67274582,-0.568427826,-0.329118472,-0.301959007,0.622663358,-0.624018411,-0.290504847,-0.290768581,-0.300485226,-0.625007367,-0.41981578,-0.417544151,-0.579508751,-0.435489577,-0.42624082
"O00264",0.137129355,0.147075025,0.13332272,0.125371406,0.089330386,0.094238201,0.08792913,0.090156595,0.152487447,0.139758836,0.077233893,0.149291933,0.134785542,0.139445662,0.124785419,0.140458272,0.090838523,0.048425562,0.003030591,0.063909697,-0.014982805,0.102157878,0.053572606,0.061920521,0.0695766,0.135198302,0.06679921,0.074327139,0.126012232,0.123493587,0.120349777,0.129101041,0.112601198,0.116007,0.072264339,0.12805025,0.113204495,0.065103145,0.073402844,0.12777399,0.053825866,0.131783159,0.100370275,0.140574195,0.139903506,0.169959406,0.123720925,0.118720347,0.08707784,0.100122495,0.122685605,0.128429498,0.090700008,0.141621761,0.089978853,0.111949717,0.102785505,0.082275797,0.13564627,0.114239665,0.11397593,0.058059632,0.103744078,0.136526229,0.138797859,0.078897928,0.073111915,0.082360672
"O00299",0.437632158,-0.500190586,0.250917893,0.191100796,0.123154857,-0.225332671,0.49619889,0.057875907,0.774335396,0.039023052,0.040444864,0.218317165,-0.275102505,0.381500745,0.157841403,0.32112246,0.323933321,0.54441888,-0.626974572,0.202337698,0.632817984,-0.100311427,-0.575183334,0.276112781,-0.083931495,0.588566416,-0.165139847,0.353340522,0.2455439,0.157505403,-0.113837407,0.156235486,0.00252693,-0.089673566,0.553628208,0.463215476,0.175422383,-0.073437206,0.264195596,0.306609155,-0.013882182,0.419181284,-0.169915316,0.124471818,0.069794766,-0.092200706,0.143270772,-0.062559415,0.02943086,-0.345302322,-0.127110097,0.070143279,0.156179687,0.236322756,0.399110079,0.243234172,0.494035715,0.04273351,-0.114010098,-0.136781624,-0.377787358,0.216056721,0.286385656,0.198104102,-0.076312501,0.112546204,0.136425906,-0.209450189
"O00410",0.250710405,0.041358652,-0.373934793,0.238952455,-0.127268868,0.353997113,0.347688042,0.218896498,-0.621772644,0.092028285,-0.229654366,0.193297921,0.685369069,0.236927405,0.36168847,0.477300306,0.291343424,0.365412648,-0.111856727,0.264726609,-0.530515006,-0.44077757,0.296898392,-0.054486177,-0.390420517,0.439077689,0.182772729,0.238221439,0.738024377,0.144395375,-0.397567138,0.268048462,0.133502986,0.199304982,0.808325283,0.478768422,0.271737538,-0.574909144,0.019303015,0.07989071,-0.241779195,0.216409436,0.283209172,0.245721534,0.653932379,0.654006265,0.307839184,0.322812683,0.532840887,0.243923323,0.436310469,0.207683309,0.092830715,0.494712226,-0.178721123,0.177678118,0.493019596,-0.134941661,0.033811881,0.419200678,0.28268218,0.265142918,0.108418176,0.092724497,0.305694637,0.300721842,0.270267369,0.296997967
"O00422",-0.321738487,-0.311792817,-0.325545122,-0.333496436,-0.277428362,-0.272520547,-0.278829618,-0.276602153,-0.188017864,-0.200746475,-0.081300464,-0.191213377,-0.205719768,-0.239794476,-0.254454719,-0.238781866,-0.31135302,-0.042369539,-0.105162641,-0.37012557,-0.146041218,-0.256893363,-0.320854482,-0.312506567,-0.30181105,-0.183013196,-0.304588441,-0.297060512,-0.277968377,-0.280487021,-0.283630832,-0.189110456,-0.291379411,-0.287973608,-0.26338674,-0.190161247,-0.200945331,-0.270547934,-0.262248234,-0.190437507,-0.281825213,-0.285653378,-0.217841222,-0.276862342,-0.277533031,-0.147180017,-0.235869762,-0.24087034,-0.260211729,-0.259468192,-0.236905082,-0.311645314,-0.354414329,-0.298453051,-0.257310715,-0.330685443,-0.311093312,-0.265013772,-0.278232547,-0.299639152,-0.299902887,-0.289229937,-0.3132674,-0.280465834,-0.278194204,-0.268391641,-0.356166843,-0.346918086
"O00567",-0.381746472,-0.26127693,-0.378284157,-0.491776983,0.452096228,-1.108891965,-0.543281182,-0.491325279,-0.228298114,-0.322165507,-0.21453027,-0.197538376,-0.818609328,-0.168647689,0.264760653,0.328263767,-0.254009096,0.148679453,-0.474939684,0.408409813,0.033431982,-0.095568921,-0.326187395,-0.725406007,-0.68750813,-0.187094821,-0.69028552,-0.042577692,-0.15498466,-0.204792634,-0.507094172,-0.113758988,-0.489259532,-0.467697797,-0.423879434,-0.83613815,0.255043046,0.338169799,-0.672245769,-0.167692525,-0.446309281,-0.10329304,-0.25277044,-0.166567873,0.080753933,-0.447996898,0.779835661,-0.268228937,-0.470021755,-0.420006041,0.133515544,0.014532813,-0.145974065,0.184741258,0.102695114,0.545273836,-0.442803609,-0.737906135,0.355157997,-0.165231185,-0.131650224,0.018303376,-0.288233102,-0.976001748,-0.11205787,-0.37820151,-0.430400031,-0.373072648
"O00571",0.017136485,0.027082155,0.01332985,0.005378536,-0.039615722,-0.034707907,-0.041016978,-0.038789513,0.044564307,0.031835696,-0.078545446,0.041368793,0.026862402,0.023083251,0.008423009,0.024095862,-0.053971375,0.012374689,-0.095104048,0.041124966,-0.060501144,0.024334796,-0.05474687,-0.046398955,-0.071483633,0.039782977,-0.074261023,-0.066733094,0.032401296,0.029882652,0.026738841,0.033685716,0.018990262,0.022396065,-0.020720391,0.032634925,0.046804075,-0.027881585,-0.019581885,0.032358665,-0.039158864,0.030768769,0.00495495,0.039559805,0.038889116,0.033271466,-0.042684879,-0.047685458,-0.021403526,-0.06628331,-0.0437202,0.043961184,0.001408998,0.057153447,-0.018502512,0.06654803,0.02365147,-0.026205569,0.056512235,0.03510563,0.034841895,-0.050421734,0.061970096,-0.009624356,-0.007352726,-0.029583438,-0.086419058,-0.077170301
"O14579",-0.053739885,-0.043794215,-0.05754652,-0.065497834,-0.071031214,-0.066123398,-0.072432469,-0.070205004,0.032286031,0.01955742,-0.010556396,0.029090517,0.014584126,-0.004735003,-0.019395245,-0.003722392,-0.028614799,0.051957332,-0.225993066,0.04811707,0.04311651,-0.007358699,-0.030610455,-0.02226254,-0.0822987,-0.011608195,-0.08507609,-0.077548162,-0.068691533,-0.071210177,-0.074353988,-0.017705456,-0.082102567,-0.078696764,-0.053113378,-0.018756247,-0.037667704,-0.060274572,-0.051974872,-0.019032506,-0.071551851,-0.088037814,-0.046436222,-0.079246778,-0.079917467,-0.001284505,-0.027751871,-0.032752449,-0.083050999,-0.051350301,-0.028787191,-0.090481595,-0.089918317,-0.077289332,-0.080149985,0.140306417,-0.148583698,-0.087853042,-0.115722933,-0.137129537,-0.137393272,-0.112069207,0.129974792,-0.039265627,-0.036993998,-0.091230911,-0.073950554,-0.064701797
"O14737",0.297333084,-0.734658773,0.298317135,-0.084989187,0.100028654,-0.040184063,-0.046493134,-0.483450199,0.573694658,-0.117511937,-0.627281385,-0.161380819,-0.066251548,0.191849124,0.441021461,0.0508831,-0.021231664,-0.422090598,0.179014317,-0.58756759,-0.253132876,-0.623853051,-0.633168401,-0.23616766,0.377006348,0.20109757,-0.12066912,-0.631107105,0.13744269,0.012873396,-0.291098516,0.270107087,-0.163285486,0.480123808,0.297448612,-0.005978652,-0.011780166,0.709933154,0.263751635,-0.896948561,0.633908437,-0.055513093,-0.551099446,-0.506963843,0.084761955,0.642657283,0.268441965,-0.819533209,1.131390234,0.164838772,-0.120253141,0.019440092,0.325129144,-0.89425108,-0.063472518,0.008993022,-0.396045684,0.357969717,0.126489121,-0.02195283,0.133259959,0.424366684,0.946963301,0.184274886,-0.417402777,-0.339368805,0.532209442,0.412986569
