Protein	i10	i11	i12	i13	i14	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i5	i53	i55	i56	i57	i58	i59	i60	i61	i62	i63	i64	i69	i7	i71	i72	i73	i74	i75	i76	i77	i78	i79	i8	i80	i85	i87	i88	i89	i9	i90	i91	i92	i93	i94	i95	i96
A0A1B0GX78	0.502080242	-0.457509647	0.694639171	-0.444052487	0.361262652	-0.248055365	0.499935764	-0.057566548	0.349320913	-0.228895202	0.502080242	-0.161097863	0.614076188	-0.177518079	0.614076188	-0.34869073	0.349320913	-0.15345624	0.349320913	-0.053187185	0.349320913	0.216235183	0.540809239	-0.577485962	0.353125507	0.54402105	-0.013358875	0.499935764	-0.0656958	0.614076188	-0.032272782	0.505884836	0.003197252	0.349320913	-0.170945894	0.349320913	-0.207503492	0.006282007	-0.21763137	0.204821402	0.198387967	0.3023321	-0.0656958	0.999087225	-0.290897425	0.502080242	-0.242019126	0.502080242	0.361262652	-0.102076374	0.435900444	0.502080242	-0.141424932	0.614076188	-0.41586705	-0.149554184	0.585377216	-0.141424932	0.614076188	-0.170945894	0.502080242	-0.204368912
A6NFK2	1.171988891	-1.065308922	0.965485358	-0.912422997	1.204071138	-1.065838346	1.055790776	-1.065838346	0.868962742	-1.065308922	0.868962742	-0.994486228	0.882396867	-1.065838346	0.812522321	-1.065308922	0.970001921	-1.065838346	0.868962742	-1.065308922	0.596861877	-0.801475289	0.952051233	-1.067973531	0.952051233	-0.923681719	0.966097707	1.060506614	-1.065838346	0.979289257	-1.110808119	0.90941471	-1.065838346	1.188251727	-1.065838346	1.01241361	-1.065838346	0.636159865	-0.736417354	0.996020645	-1.065838346	0.967043081	-1.065838346	1.013154254	-1.075092228	0.953608956	-1.065838346	1.080354949	1.080599063	-1.065838346	1.16344344	0.954952378	-1.065838346	1.183052719	-0.923681719	-1.019555178	1.183052719	-1.031343325	1.03346034	-1.065838346	0.90941471	-1.075092228
A6NFN9	-0.814600737	1.808968262	-1.202780319	-0.355169741	-0.760898756	0.673129597	-0.677826979	0.54391545	-0.415275528	0.548589409	-0.934104064	-0.534777177	-1.433973437	-0.331872578	0.334596563	0.369407281	-1.380985462	0.745856939	-1.214771114	0.084410719	-0.791462129	0.386897974	-1.391574051	-0.20907661	-0.791462129	0.609938371	-0.841236016	-0.148308436	1.092509128	-0.811312643	0.672988087	-1.065920726	0.672988087	-1.362978408	1.092509128	-1.055332137	0.816188171	-0.131349035	-0.108328748	-1.347879517	0.966552463	-1.228683758	0.97445499	-1.391574051	-0.107578102	-1.347879517	0.193811754	-1.380985462	-1.359766782	-0.034786297	0.085957068	-1.795064377	1.807152529	-0.45701346	1.332352072	-0.113497162	-0.945684339	1.652234944	-1.21822243	-0.181860091	-0.913918572	1.298072531
A6NHQ2	0.128031673	-0.414246769	0.036409718	-0.798608735	0.210179001	-0.333441135	-0.294494326	-0.324325217	0.147387063	-0.49571752	-0.12969043	-0.100719223	-0.102667795	-0.570090743	-0.101397126	-0.118262003	0.191096041	-0.178773702	0.690087067	0.085946991	0.273399348	0.544115341	-0.060985062	0.608196948	-0.113154626	-0.329052509	0.020531396	-0.094432788	-0.366732318	-0.102348005	-0.23786854	-0.101077336	-0.265369056	0.574421499	-0.50211388	-0.172726798	-0.335295278	0.279124037	-0.464622955	1.014774644	0.049996481	0.613409948	0.538565262	-0.029535729	0.426859796	0.511451901	-0.344015393	0.481894782	-0.044684347	0.626843717	-0.688854436	0.038153687	-0.246029201	0.059738394	0.22761583	-1.156511301	-0.078146128	0.0477885	-0.423503023	-0.908155489	0.006923151	0.279758031
B4DXR9	0.145326031	-0.546058554	-0.057718645	0.025824322	0.376464546	0.025824322	0.036923024	-0.466781035	0.145326031	0.025824322	0.2399677	-0.546058554	-0.057718645	-0.466781035	0.150015695	1.02696928	0.447965548	-1.226844157	-0.51530601	0.277347844	0.787243563	-0.68867935	0.16404054	-0.450846791	0.178109533	0.025824322	0.664107459	-0.057718645	-0.546058554	0.376464546	0.025824322	-0.341958609	-0.546058554	0.150015695	-0.466781035	0.376464546	-0.546058554	0.664107459	0.025824322	0.150015695	-0.466781035	0.376464546	-0.466781035	-0.115509759	-0.466781035	0.036923024	-0.466781035	0.150015695	0.150015695	-0.466781035	0.471106215	0.376464546	0.025824322	0.376464546	-0.546058554	0.025824322	0.376464546	0.025824322	0.150015695	0.025824322	0.471106215	0.025824322
C4AMC7	-0.597635901	-0.235699321	-0.650984007	-0.000550216	-0.641611539	0.09848941	0.065349905	-0.647810407	-0.650984007	0.606031718	-0.650984007	0.631742163	-0.597635901	0.484890051	-0.682722651	-0.647810407	-0.656239554	-0.252171616	-0.682722651	-0.585415812	-0.682722651	0.484890051	0.031487086	-0.647810407	-0.682722651	-0.274091267	-0.682722651	0.140952408	0.114961705	-0.229500102	0.111170912	-0.682722651	-0.486899305	-0.682722651	0.506809702	-0.583637639	-0.235699321	-0.650984007	-0.647810407	-0.682722651	0.469543982	-0.682722651	0.484890051	0.099355895	0.469543982	-0.682722651	0.469543982	-0.682722651	-0.597635901	-0.275229729	-0.317413909	-0.656239554	-0.647810407	0.435802415	-0.50961863	-0.647810407	-0.090022049	-0.647810407	-0.650984007	-0.297149381	-0.682722651	-0.25988366
E9PAV3	0.326339232	0.448052638	-0.412638581	0.186265638	-0.316885562	0.232646011	0.388254417	0.258232759	0.168737861	0.727217851	-0.927977123	0.45660332	0.09453963	0.177285872	-0.611481557	0.193867954	-0.139636422	0.09343456	-0.440673277	0.276524567	-0.415270947	0.224670658	-0.531982465	-0.201685683	-0.098014588	0.514887703	-0.633750824	-0.608720142	0.031230968	-0.018656019	-0.083822352	-0.39131444	-0.489532393	-0.118247088	-0.111672635	0.319265729	0.093241945	-0.386857797	0.186265657	0.330879705	0.118075227	-0.039438742	0.657509323	0.074466415	-0.025348589	-0.102749292	0.116509295	-0.176487952	-0.114975082	-0.43888742	0.451100518	0.21357579	0.049827733	-0.142201764	0.054971127	0.433867144	0.126749999	0.195981626	-0.471336968	0.156120916	-0.207457144	0.280503061
O00154	0.347086858	0.08015259	0.731796167	-0.211968696	0.859371002	-0.245217505	0.859371002	0.019461361	0.525290453	-0.532580408	0.525290453	-0.830397731	0.347086858	-0.331012502	0.731796167	-0.55821384	0.476649514	-0.55821384	0.731796167	-0.85095759	0.476649514	-0.423461358	0.731796167	-0.830397731	0.700056034	0.08015259	0.278505917	0.28375083	-0.211968696	0.731796167	-0.211968696	0.731796167	-0.614123526	0.359813227	-0.61890507	0.395287124	-0.61890507	0.164766227	0.08015259	0.748696973	-0.55821384	0.801069355	-0.245217505	0.801069355	-0.553432297	0.700056034	-0.495079721	0.667389663	0.308064294	-0.702599048	0.671506699	0.601487062	-0.345844071	0.674901171	0.054433493	-0.55821384	0.147128163	-0.384221867	0.43837001	-0.211968696	0.671506699	-0.55821384
O00170	0.240558383	-0.233999352	0.602889353	0.016784728	-0.119160967	-0.073953882	0.038046258	-0.218554975	0.240558383	-0.218554975	0.240558383	-0.000233204	0.240558383	-0.073953882	0.240558383	-0.107147109	0.240558383	-0.107147109	0.240558383	-0.107147109	0.240558383	-0.218554975	0.240558383	-0.000233204	0.240558383	-0.082794952	0.240558383	0.038046258	-0.073953882	0.011996948	-0.211411058	-0.038404519	-0.244604285	0.240558383	-0.073953882	0.038046258	-0.218554975	0.240558383	-0.004647023	0.240558383	-0.134960282	0.240558383	-0.073953882	0.240558383	-0.218554975	0.240558383	-0.218554975	0.240558383	0.237946762	-0.038404519	0.240558383	0.038046258	-0.107147109	0.011996948	-0.41701855	-0.107147109	0.240558383	-0.218554975	0.240558383	-0.107147109	0.038046258	-0.107147109
O00192	-0.345683373	0.354220937	0.046763944	0.327693135	-0.402748799	0.329860563	0.017544441	0.07893288	-0.072170941	0.054060641	-0.072170941	0.2971616	-0.065404321	0.327693135	-0.105567338	0.309066717	0.028324332	0.172813408	-0.072170941	0.160908291	-0.041936196	0.313873378	0.039997324	0.2971616	0.039997324	0.354220937	-0.393665248	0.236180544	0.327693135	-0.053934829	0.327693135	-0.094097846	-0.07701601	-0.314966876	0.174728048	0.01992559	0.310981357	-0.033323815	0.354220937	-0.022887125	0.176760428	-0.026760695	-0.07701601	-0.116550729	0.302234495	-0.033527315	-0.07701601	-0.237438448	-0.172152252	0.18550729	-0.125270184	-0.040105177	-0.07701601	-0.384357419	0.221914648	0.309066717	-0.384357419	-0.00354066	-0.175060822	0.327693135	-0.094097846	0.309066717
